# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-370.65032420	0.00088348
-370.61696779	0.00097584
-370.58361138	0.00102823
-370.55025497	0.00098568
-370.51689856	0.00104955
-370.48354215	0.00107350
-370.45018574	0.00103659
-370.41682933	0.00119552
-370.38347292	0.00130040
-370.35011651	0.00132690
-370.31676010	0.00126550
-370.28340369	0.00141401
-370.25004728	0.00150084
-370.21669087	0.00150791
-370.18333447	0.00150937
-370.14997806	0.00157394
-370.11662165	0.00160057
-370.08326524	0.00165301
-370.04990883	0.00174783
-370.01655242	0.00182372
-369.98319601	0.00182631
-369.94983960	0.00184927
-369.91648319	0.00189450
-369.88312678	0.00191418
-369.84977037	0.00196893
-369.81641396	0.00199951
-369.78305755	0.00202610
-369.74970114	0.00203863
-369.71634473	0.00206951
-369.68298832	0.00212778
-369.64963191	0.00209492
-369.61627550	0.00205654
-369.58291909	0.00212642
-369.54956268	0.00211647
-369.51620627	0.00210627
-369.48284987	0.00215582
-369.44949346	0.00213258
-369.41613705	0.00214567
-369.38278064	0.00204338
-369.34942423	0.00194697
-369.31606782	0.00200927
-369.28271141	0.00206672
-369.24935500	0.00202269
-369.21599859	0.00190753
-369.18264218	0.00203450
-369.14928577	0.00192683
-369.11592936	0.00199922
-369.08257295	0.00203249
-369.04921654	0.00206917
-369.01586013	0.00199735
-368.98250372	0.00208831
-368.94914731	0.00198022
-368.91579090	0.00205795
-368.88243449	0.00203074
-368.84907808	0.00194564
-368.81572168	0.00206906
-368.78236527	0.00205351
-368.74900886	0.00209182
-368.71565245	0.00214334
-368.68229604	0.00207654
-368.64893963	0.00213655
-368.61558322	0.00217142
-368.58222681	0.00215542
-368.54887040	0.00214111
-368.51551399	0.00223702
-368.48215758	0.00222426
-368.44880117	0.00225454
-368.41544476	0.00224439
-368.38208835	0.00228016
-368.34873194	0.00227111
-368.31537553	0.00227069
-368.28201912	0.00221872
-368.24866271	0.00225057
-368.21530630	0.00234146
-368.18194989	0.00231993
-368.14859348	0.00232163
-368.11523708	0.00229302
-368.08188067	0.00237976
-368.04852426	0.00237056
-368.01516785	0.00227207
-367.98181144	0.00237776
-367.94845503	0.00237109
-367.91509862	0.00233655
-367.88174221	0.00236307
-367.84838580	0.00238981
-367.81502939	0.00233516
-367.78167298	0.00244106
-367.74831657	0.00243365
-367.71496016	0.00232020
-367.68160375	0.00233140
-367.64824734	0.00238962
-367.61489093	0.00235450
-367.58153452	0.00232237
-367.54817811	0.00241838
-367.51482170	0.00236745
-367.48146529	0.00240163
-367.44810888	0.00233844
-367.41475248	0.00237153
-367.38139607	0.00243785
-367.34803966	0.00243276
-367.31468325	0.00244768
-367.28132684	0.00228159
-367.24797043	0.00242761
-367.21461402	0.00234708
-367.18125761	0.00231115
-367.14790120	0.00231334
-367.11454479	0.00235735
-367.08118838	0.00232906
-367.04783197	0.00229808
-367.01447556	0.00223245
-366.98111915	0.00221300
-366.94776274	0.00236848
-366.91440633	0.00220568
-366.88104992	0.00214759
-366.84769351	0.00216144
-366.81433710	0.00212975
-366.78098069	0.00210961
-366.74762428	0.00210476
-366.71426788	0.00201775
-366.68091147	0.00199321
-366.64755506	0.00200689
-366.61419865	0.00198565
-366.58084224	0.00188202
-366.54748583	0.00196133
-366.51412942	0.00196011
-366.48077301	0.00192047
-366.44741660	0.00189187
-366.41406019	0.00187637
-366.38070378	0.00197592
-366.34734737	0.00190915
-366.31399096	0.00182904
-366.28063455	0.00192284
-366.24727814	0.00186659
-366.21392173	0.00194789
-366.18056532	0.00191379
-366.14720891	0.00193696
-366.11385250	0.00196070
-366.08049609	0.00202210
-366.04713968	0.00197542
-366.01378328	0.00199881
-365.98042687	0.00203667
-365.94707046	0.00197069
-365.91371405	0.00205479
-365.88035764	0.00195385
-365.84700123	0.00198297
-365.81364482	0.00203421
-365.78028841	0.00205813
-365.74693200	0.00194488
-365.71357559	0.00200565
-365.68021918	0.00205324
-365.64686277	0.00201385
-365.61350636	0.00200297
-365.58014995	0.00199361
-365.54679354	0.00194735
-365.51343713	0.00205727
-365.48008072	0.00202431
-365.44672431	0.00201473
-365.41336790	0.00198101
-365.38001149	0.00195543
-365.34665508	0.00202092
-365.31329868	0.00200807
-365.27994227	0.00201600
-365.24658586	0.00189088
-365.21322945	0.00191291
-365.17987304	0.00189748
-365.14651663	0.00192271
-365.11316022	0.00185895
-365.07980381	0.00184438
-365.04644740	0.00179402
-365.01309099	0.00187081
-364.97973458	0.00175437
-364.94637817	0.00175590
-364.91302176	0.00172684
-364.87966535	0.00178618
-364.84630894	0.00174857
-364.81295253	0.00181336
-364.77959612	0.00168213
-364.74623971	0.00179130
