# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-370.61696779	0.00103384
-370.58361138	0.00106865
-370.55025497	0.00109839
-370.51689856	0.00121580
-370.48354215	0.00114958
-370.45018574	0.00116986
-370.41682933	0.00115917
-370.38347292	0.00118841
-370.35011651	0.00124701
-370.31676010	0.00133509
-370.28340369	0.00133494
-370.25004728	0.00128967
-370.21669087	0.00134331
-370.18333447	0.00134280
-370.14997806	0.00133133
-370.11662165	0.00132676
-370.08326524	0.00138604
-370.04990883	0.00147780
-370.01655242	0.00135979
-369.98319601	0.00137667
-369.94983960	0.00136383
-369.91648319	0.00143732
-369.88312678	0.00131512
-369.84977037	0.00136006
-369.81641396	0.00134201
-369.78305755	0.00132474
-369.74970114	0.00130310
-369.71634473	0.00128136
-369.68298832	0.00121681
-369.64963191	0.00127493
-369.61627550	0.00137476
-369.58291909	0.00130619
-369.54956268	0.00125542
-369.51620627	0.00123349
-369.48284987	0.00133890
-369.44949346	0.00128739
-369.41613705	0.00133505
-369.38278064	0.00134035
-369.34942423	0.00131086
-369.31606782	0.00145830
-369.28271141	0.00145718
-369.24935500	0.00146008
-369.21599859	0.00152001
-369.18264218	0.00154380
-369.14928577	0.00155379
-369.11592936	0.00161104
-369.08257295	0.00171581
-369.04921654	0.00155784
-369.01586013	0.00172277
-368.98250372	0.00180538
-368.94914731	0.00183268
-368.91579090	0.00179923
-368.88243449	0.00193983
-368.84907808	0.00191383
-368.81572168	0.00192521
-368.78236527	0.00197125
-368.74900886	0.00196198
-368.71565245	0.00190895
-368.68229604	0.00197856
-368.64893963	0.00198948
-368.61558322	0.00195536
-368.58222681	0.00191626
-368.54887040	0.00199343
-368.51551399	0.00188297
-368.48215758	0.00190127
-368.44880117	0.00178518
-368.41544476	0.00180190
-368.38208835	0.00181338
-368.34873194	0.00172180
-368.31537553	0.00170784
-368.28201912	0.00169172
-368.24866271	0.00172333
-368.21530630	0.00169626
-368.18194989	0.00163123
-368.14859348	0.00158444
-368.11523708	0.00149141
-368.08188067	0.00153766
-368.04852426	0.00152184
-368.01516785	0.00146770
-367.98181144	0.00156662
-367.94845503	0.00153653
-367.91509862	0.00147013
-367.88174221	0.00147496
-367.84838580	0.00149469
-367.81502939	0.00151388
-367.78167298	0.00155748
-367.74831657	0.00153488
-367.71496016	0.00162305
-367.68160375	0.00162896
-367.64824734	0.00170358
-367.61489093	0.00171676
-367.58153452	0.00179085
-367.54817811	0.00185676
-367.51482170	0.00183121
-367.48146529	0.00171593
-367.44810888	0.00187499
-367.41475248	0.00181775
-367.38139607	0.00179420
-367.34803966	0.00181488
-367.31468325	0.00177604
-367.28132684	0.00171415
-367.24797043	0.00167312
-367.21461402	0.00163349
-367.18125761	0.00170872
-367.14790120	0.00161697
-367.11454479	0.00157079
-367.08118838	0.00150944
-367.04783197	0.00151350
-367.01447556	0.00151347
-366.98111915	0.00138485
-366.94776274	0.00146187
-366.91440633	0.00144799
-366.88104992	0.00126200
-366.84769351	0.00123577
-366.81433710	0.00119811
-366.78098069	0.00114903
-366.74762428	0.00122031
-366.71426788	0.00106886
-366.68091147	0.00113098
-366.64755506	0.00099527
-366.61419865	0.00105504
-366.58084224	0.00097326
-366.54748583	0.00102048
-366.51412942	0.00099204
-366.48077301	0.00101294
-366.44741660	0.00099517
-366.41406019	0.00098700
-366.38070378	0.00102863
-366.34734737	0.00103549
-366.31399096	0.00099031
-366.28063455	0.00105716
-366.24727814	0.00103165
-366.21392173	0.00093921
-366.18056532	0.00095306
-366.14720891	0.00101008
-366.11385250	0.00099479
-366.08049609	0.00099069
-366.04713968	0.00106382
-366.01378328	0.00102554
-365.98042687	0.00101621
-365.94707046	0.00102664
-365.91371405	0.00104055
-365.88035764	0.00104162
-365.84700123	0.00119111
-365.81364482	0.00112221
-365.78028841	0.00119395
-365.74693200	0.00129520
-365.71357559	0.00123791
-365.68021918	0.00125191
-365.64686277	0.00124116
-365.61350636	0.00123848
-365.58014995	0.00125708
-365.54679354	0.00119975
-365.51343713	0.00121586
-365.48008072	0.00126306
-365.44672431	0.00119065
-365.41336790	0.00109223
-365.38001149	0.00109150
-365.34665508	0.00109346
-365.31329868	0.00109388
-365.27994227	0.00099237
-365.24658586	0.00106753
-365.21322945	0.00106516
-365.17987304	0.00094645
-365.14651663	0.00100372
-365.11316022	0.00093430
-365.07980381	0.00092246
-365.04644740	0.00090979
-365.01309099	0.00087898
-364.97973458	0.00091890
-364.94637817	0.00089313
-364.91302176	0.00098169
-364.87966535	0.00100989
-364.84630894	0.00107360
-364.81295253	0.00110795
-364.77959612	0.00125914
-364.74623971	0.00140727
-364.71288330	0.00152999
-364.67952689	0.00167756
-364.64617049	0.00176260
-364.61281408	0.00191864
-364.57945767	0.00207252
-364.54610126	0.00227483
-364.51274485	0.00243332
-364.47938844	0.00252703
-364.44603203	0.00261194
-364.41267562	0.00266310
-364.37931921	0.00278448
-364.34596280	0.00278968
-364.31260639	0.00280621
-364.27924998	0.00274227
-364.24589357	0.00271904
-364.21253716	0.00269527
-364.17918075	0.00262643
-364.14582434	0.00256245
-364.11246793	0.00243485
-364.07911152	0.00227185
-364.04575511	0.00210223
-364.01239870	0.00199081
-363.97904229	0.00180222
-363.94568589	0.00158988
-363.91232948	0.00142117
-363.87897307	0.00134039
-363.84561666	0.00124224
-363.81226025	0.00123866
-363.77890384	0.00118660
-363.74554743	0.00113174
-363.71219102	0.00112036
-363.67883461	0.00118158
-363.64547820	0.00111660
-363.61212179	0.00119318
-363.57876538	0.00120575
-363.54540897	0.00110975
-363.51205256	0.00129139
-363.47869615	0.00130667
-363.44533974	0.00130173
-363.41198333	0.00128691
-363.37862692	0.00125294
-363.34527051	0.00115518
-363.31191410	0.00101480
-363.27855769	0.00070413
