Time_abs/ps, Signal/nA, Ref.signal/nA
  2497.406,    -1.479078,    -1.382117
  2497.456,    -1.495440,    -1.488382
  2497.506,    -1.495776,    -1.486903
  2497.556,    -1.495118,    -1.475903
  2497.606,    -1.493782,    -1.406336
  2497.656,    -1.497722,    -1.487932
  2497.706,    -1.503222,    -1.450725
  2497.756,    -1.492395,    -1.416377
  2497.806,    -1.475774,    -1.371141
  2497.856,    -1.472790,    -1.409047
  2497.906,    -1.457903,    -1.340575
  2497.956,    -1.451618,    -1.478950
  2498.006,    -1.429001,    -1.575370
  2498.056,    -1.384776,    -1.612434
  2498.106,    -1.347326,    -1.399039
  2498.156,    -1.304325,    -1.420586
  2498.206,    -1.265068,    -1.277742
  2498.256,    -1.222014,    -1.210451
  2498.306,    -1.181386,    -1.134119
  2498.356,    -1.146676,    -1.050639
  2498.406,    -1.122958,    -1.203523
  2498.456,    -1.105697,    -1.109025
  2498.506,    -1.107265,    -1.142324
  2498.556,    -1.113416,    -1.243591
  2498.606,    -1.099887,    -1.184112
  2498.656,    -1.111645,    -1.067182
  2498.706,    -1.102696,    -1.073196
  2498.756,    -1.100731,    -1.138103
  2498.806,    -1.073873,    -1.115326
  2498.856,    -1.077283,    -0.933619
  2498.906,    -1.061623,    -0.991651
  2498.956,    -1.063649,    -1.095441
  2499.006,    -1.049376,    -1.164567
  2499.056,    -1.032329,    -1.127626
  2499.106,    -1.027999,    -1.100393
  2499.156,    -1.004495,    -1.285936
  2499.206,    -0.994400,    -1.180043
  2499.256,    -0.967333,    -1.204726
  2499.306,    -0.947831,    -1.236499
  2499.356,    -0.909351,    -1.248329
  2499.406,    -0.871117,    -1.153937
  2499.456,    -0.841595,    -1.040420
  2499.506,    -0.803396,    -0.914473
  2499.556,    -0.745843,    -0.911745
  2499.606,    -0.716596,    -0.862244
  2499.656,    -0.708421,    -0.904185
  2499.706,    -0.690428,    -0.750700
  2499.756,    -0.682748,    -0.727588
  2499.806,    -0.701679,    -0.725340
  2499.856,    -0.717454,    -0.807883
  2499.906,    -0.738119,    -0.798198
  2499.956,    -0.736437,    -0.812497
  2500.006,    -0.763890,    -0.730738
  2500.056,    -0.783007,    -0.723082
  2500.106,    -0.799972,    -0.767039
  2500.156,    -0.811115,    -0.669648
  2500.206,    -0.824016,    -0.896954
  2500.256,    -0.858178,    -0.710764
  2500.306,    -0.854676,    -0.813750
  2500.356,    -0.867105,    -0.866481
  2500.406,    -0.879478,    -0.794576
  2500.456,    -0.894098,    -0.874980
  2500.506,    -0.902887,    -0.864271
  2500.556,    -0.909498,    -0.757581
  2500.606,    -0.915931,    -0.729780
  2500.656,    -0.932010,    -0.716592
  2500.706,    -0.937402,    -0.753791
  2500.756,    -0.948102,    -0.813218
  2500.806,    -0.956714,    -0.673694
  2500.856,    -0.983758,    -0.763920
  2500.906,    -1.003081,    -0.908542
  2500.956,    -1.029951,    -0.766203
  2501.006,    -1.047733,    -0.816410
  2501.056,    -1.073244,    -0.847691
  2501.106,    -1.076406,    -0.781975
  2501.156,    -1.092925,    -0.732387
  2501.206,    -1.111443,    -0.846589
  2501.256,    -1.111104,    -1.077647
  2501.306,    -1.109996,    -0.787950
  2501.356,    -1.103568,    -0.790877
  2501.406,    -1.099589,    -0.910694
  2501.456,    -1.103658,    -0.867923
  2501.506,    -1.102633,    -0.917851
  2501.556,    -1.088808,    -0.814439
  2501.606,    -1.078782,    -0.991656
  2501.656,    -1.059345,    -1.013471
  2501.706,    -1.039974,    -0.984217
  2501.756,    -1.030295,    -0.891267
  2501.806,    -1.015439,    -0.904891
  2501.856,    -0.984596,    -0.986650
  2501.906,    -0.965226,    -0.984647
  2501.956,    -0.956857,    -0.925202
  2502.006,    -0.949744,    -0.841515
  2502.056,    -0.944818,    -0.906635
  2502.106,    -0.930616,    -1.023902
  2502.156,    -0.918775,    -0.932547
  2502.206,    -0.916822,    -0.783948
  2502.256,    -0.909004,    -0.928421
  2502.306,    -0.916450,    -0.801385
  2502.356,    -0.919320,    -0.744494
  2502.406,    -0.941663,    -0.854283
  2502.456,    -0.945433,    -0.741321
  2502.506,    -0.964710,    -0.848574
  2502.556,    -0.993662,    -0.719849
  2502.606,    -1.025580,    -0.929545
  2502.656,    -1.056348,    -0.892150
  2502.706,    -1.074243,    -1.000706
  2502.756,    -1.077072,    -1.023038
  2502.806,    -1.077075,    -1.001584
  2502.856,    -1.068693,    -0.961417
  2502.906,    -1.055706,    -0.930654
  2502.956,    -1.048011,    -1.182335
  2503.006,    -1.031437,    -0.923343
  2503.056,    -1.025273,    -0.991840
  2503.106,    -1.021624,    -0.806016
  2503.156,    -1.020584,    -0.923963
  2503.206,    -1.034113,    -0.864827
  2503.256,    -1.038381,    -0.853709
  2503.306,    -1.048354,    -0.719756
  2503.356,    -1.061479,    -0.878491
  2503.406,    -1.063789,    -0.758295
  2503.456,    -1.069117,    -0.863248
  2503.506,    -1.087462,    -0.896967
  2503.556,    -1.090819,    -1.047449
  2503.606,    -1.090869,    -0.827984
  2503.656,    -1.078013,    -0.975135
  2503.706,    -1.069542,    -1.049512
  2503.756,    -1.066539,    -0.930385
  2503.806,    -1.058194,    -0.939642
  2503.856,    -1.054467,    -1.020390
  2503.906,    -1.067942,    -0.871292
  2503.956,    -1.078948,    -0.923336
  2504.006,    -1.098448,    -0.995359
  2504.056,    -1.119075,    -1.033309
  2504.106,    -1.145861,    -0.989514
  2504.156,    -1.169270,    -1.025235
  2504.206,    -1.210530,    -0.981223
  2504.256,    -1.250628,    -1.063294
  2504.306,    -1.307714,    -1.135038
  2504.356,    -1.366746,    -1.322777
  2504.406,    -1.437250,    -1.326224
  2504.456,    -1.504003,    -1.349245
  2504.506,    -1.563381,    -1.259246
  2504.556,    -1.624839,    -1.392267
  2504.606,    -1.668897,    -1.459966
  2504.656,    -1.704253,    -1.466746
  2504.706,    -1.723178,    -1.568824
  2504.756,    -1.728413,    -1.530495
  2504.806,    -1.714730,    -1.485363
  2504.856,    -1.686421,    -1.542146
  2504.906,    -1.644005,    -1.436505
  2504.956,    -1.588020,    -1.440306
  2505.006,    -1.525206,    -1.480850
  2505.056,    -1.446994,    -1.401177
  2505.106,    -1.363978,    -1.344090
  2505.156,    -1.280984,    -1.312478
  2505.206,    -1.184131,    -1.191505
  2505.256,    -1.098000,    -1.057497
  2505.306,    -1.023978,    -0.964819
  2505.356,    -0.930730,    -0.931471
  2505.406,    -0.856373,    -0.774513
  2505.456,    -0.763302,    -0.630111
  2505.506,    -0.664768,    -0.574890
  2505.556,    -0.570121,    -0.540964
  2505.606,    -0.477138,    -0.477595
  2505.656,    -0.371142,    -0.345728
  2505.706,    -0.258255,    -0.042882
  2505.756,    -0.149258,     0.045721
  2505.806,    -0.027353,     0.099331
  2505.856,     0.099484,     0.299232
  2505.906,     0.252434,     0.356625
  2505.956,     0.386902,     0.615651
  2506.006,     0.491603,     0.731013
  2506.056,     0.604628,     0.617764
  2506.106,     0.718676,     0.795540
  2506.156,     0.808908,     0.982560
  2506.206,     0.861049,     1.047649
  2506.256,     0.905211,     1.138950
  2506.306,     0.948849,     1.198164
  2506.356,     0.995982,     1.254286
  2506.406,     1.003332,     1.281856
  2506.456,     1.007038,     1.336982
  2506.507,     1.009341,     1.328576
  2506.557,     0.992815,     1.312062
  2506.607,     0.993674,     1.176726
  2506.657,     0.972746,     1.281273
  2506.707,     0.930612,     1.179308
  2506.757,     0.855476,     1.194164
  2506.807,     0.781114,     0.994526
  2506.857,     0.666212,     0.922738
  2506.907,     0.522697,     0.819265
  2506.957,     0.336953,     0.663166
  2507.007,     0.113590,     0.453091
  2507.057,    -0.161356,     0.252311
  2507.107,    -0.524055,    -0.023968
  2507.157,    -0.986855,    -0.413534
  2507.207,    -1.593426,    -0.829435
  2507.257,    -2.382789,    -1.423231
  2507.307,    -3.382363,    -2.350086
  2507.357,    -4.588138,    -3.213571
  2507.407,    -5.957451,    -4.488031
  2507.457,    -7.368220,    -5.949727
  2507.507,    -8.693149,    -7.334713
  2507.557,    -9.734398,    -8.571429
  2507.607,   -10.315803,    -9.531796
  2507.657,   -10.323989,   -10.048847
  2507.707,    -9.707305,   -10.162010
  2507.757,    -8.538900,    -9.538767
  2507.807,    -6.941253,    -8.414283
  2507.857,    -5.104280,    -6.827308
  2507.907,    -3.228873,    -4.928335
  2507.957,    -1.484622,    -3.157651
  2508.007,     0.029684,    -1.268001
  2508.057,     1.219280,     0.027761
  2508.107,     2.083800,     1.407369
  2508.157,     2.631499,     2.246386
  2508.207,     2.917263,     2.814281
  2508.257,     2.976659,     3.039108
  2508.307,     2.881763,     3.132552
  2508.357,     2.678191,     3.199467
  2508.407,     2.452225,     2.917534
  2508.457,     2.194819,     2.648594
  2508.507,     1.968256,     2.457474
  2508.557,     1.757602,     2.092383
  2508.607,     1.535278,     1.900841
  2508.657,     1.351706,     1.617130
  2508.707,     1.142564,     1.452258
  2508.757,     0.924516,     1.156168
  2508.807,     0.719267,     0.915085
  2508.857,     0.500224,     0.677093
  2508.907,     0.284205,     0.597720
  2508.957,     0.056415,     0.414726
  2509.007,    -0.156634,     0.196436
  2509.057,    -0.339419,    -0.010343
  2509.107,    -0.504428,    -0.188228
  2509.157,    -0.642263,    -0.455388
  2509.207,    -0.760920,    -0.659977
  2509.257,    -0.855422,    -0.758612
  2509.307,    -0.936613,    -0.758043
  2509.357,    -1.026190,    -0.797689
  2509.407,    -1.110405,    -0.730275
  2509.457,    -1.174176,    -0.855294
  2509.507,    -1.245885,    -0.835298
  2509.557,    -1.309258,    -0.938391
  2509.607,    -1.366109,    -0.962460
  2509.657,    -1.397610,    -1.018151
  2509.707,    -1.403476,    -1.091885
  2509.757,    -1.383760,    -1.330253
  2509.807,    -1.348437,    -1.302469
  2509.857,    -1.294988,    -1.253780
  2509.907,    -1.237470,    -1.161690
  2509.957,    -1.172800,    -1.171138
  2510.007,    -1.109082,    -1.081804
  2510.057,    -1.036578,    -1.071481
  2510.107,    -0.976773,    -0.968847
  2510.157,    -0.906778,    -0.932084
  2510.207,    -0.860658,    -0.828108
  2510.257,    -0.811002,    -0.858874
  2510.307,    -0.774697,    -0.782573
  2510.357,    -0.758880,    -0.732121
  2510.407,    -0.738500,    -0.715390
  2510.457,    -0.725839,    -0.692494
  2510.507,    -0.707117,    -0.728693
  2510.557,    -0.691631,    -0.626616
  2510.607,    -0.685996,    -0.740994
  2510.657,    -0.671860,    -0.649629
  2510.707,    -0.649727,    -0.610692
  2510.757,    -0.642734,    -0.616270
  2510.807,    -0.631198,    -0.541599
  2510.857,    -0.604168,    -0.603817
  2510.907,    -0.573172,    -0.450487
  2510.957,    -0.537561,    -0.414890
  2511.007,    -0.484261,    -0.483250
  2511.057,    -0.456614,    -0.398669
  2511.107,    -0.432403,    -0.149642
  2511.157,    -0.418007,    -0.186652
  2511.207,    -0.396596,    -0.109745
  2511.257,    -0.403007,    -0.110572
  2511.307,    -0.428661,    -0.150121
  2511.357,    -0.437929,    -0.085421
  2511.407,    -0.473102,    -0.182862
  2511.457,    -0.496271,    -0.229399
  2511.507,    -0.516742,    -0.347258
  2511.557,    -0.554196,    -0.395669
  2511.607,    -0.574771,    -0.305530
  2511.657,    -0.596327,    -0.363129
  2511.707,    -0.602665,    -0.411895
  2511.757,    -0.609454,    -0.398110
  2511.807,    -0.583916,    -0.435543
  2511.857,    -0.551285,    -0.280358
  2511.907,    -0.507162,    -0.337321
  2511.957,    -0.458948,    -0.246265
  2512.007,    -0.381193,     0.009159
  2512.057,    -0.296890,     0.034551
  2512.107,    -0.225407,    -0.026572
  2512.157,    -0.155213,     0.046714
  2512.207,    -0.066948,     0.058711
  2512.257,     0.011898,     0.115837
  2512.307,     0.074808,     0.241341
  2512.357,     0.136131,     0.289759
  2512.407,     0.183861,     0.339592
  2512.457,     0.217609,     0.412660
  2512.507,     0.247260,     0.534445
  2512.557,     0.259440,     0.697024
  2512.607,     0.284096,     0.615236
  2512.657,     0.300405,     0.593005
  2512.707,     0.289963,     0.666028
  2512.757,     0.272185,     0.674331
  2512.807,     0.253996,     0.386220
  2512.857,     0.223909,     0.413138
  2512.907,     0.189767,     0.479878
  2512.957,     0.151285,     0.487463
  2513.007,     0.102694,     0.357779
  2513.057,     0.057857,     0.317182
  2513.107,    -0.011396,     0.241798
  2513.157,    -0.078250,     0.323591
  2513.207,    -0.149852,     0.131010
  2513.257,    -0.241805,     0.173550
  2513.307,    -0.342485,     0.067330
  2513.357,    -0.482032,    -0.053559
  2513.407,    -0.625887,    -0.215329
  2513.457,    -0.797284,    -0.335289
  2513.507,    -1.031181,    -0.691051
  2513.557,    -1.288831,    -0.839796
  2513.607,    -1.587325,    -1.179740
  2513.657,    -1.933230,    -1.424981
  2513.707,    -2.311156,    -1.696633
  2513.757,    -2.722104,    -2.037614
  2513.807,    -3.151619,    -2.350411
  2513.857,    -3.587441,    -2.867552
  2513.907,    -4.004218,    -3.396754
  2513.957,    -4.416301,    -3.875310
  2514.007,    -4.788044,    -4.276815
  2514.057,    -5.131691,    -4.534457
  2514.107,    -5.426451,    -4.911688
  2514.157,    -5.628209,    -5.224542
  2514.207,    -5.738671,    -5.373406
  2514.257,    -5.758881,    -5.512460
  2514.307,    -5.690727,    -5.433055
  2514.357,    -5.542430,    -5.281656
  2514.407,    -5.340189,    -5.110049
  2514.457,    -5.093393,    -5.028707
  2514.507,    -4.837986,    -4.791418
  2514.557,    -4.596350,    -4.372941
  2514.607,    -4.345789,    -4.192179
  2514.657,    -4.075643,    -4.047332
  2514.707,    -3.755515,    -3.831619
  2514.757,    -3.373431,    -3.460262
  2514.807,    -2.869975,    -3.130296
  2514.857,    -2.278497,    -2.597642
  2514.907,    -1.597299,    -1.807140
  2514.957,    -0.847138,    -1.195740
  2515.007,    -0.076272,    -0.515570
  2515.057,     0.691756,     0.165030
  2515.107,     1.427348,     1.001962
  2515.157,     2.099178,     1.724132
  2515.207,     2.684956,     2.283965
  2515.257,     3.183959,     2.935366
  2515.307,     3.609090,     3.521023
  2515.357,     3.988252,     3.850460
  2515.407,     4.359002,     4.188936
  2515.457,     4.746576,     4.530739
  2515.507,     5.207884,     4.922698
  2515.557,     5.751936,     5.473934
  2515.607,     6.369720,     5.918469
  2515.657,     7.022320,     6.613676
  2515.707,     7.642823,     7.244600
  2515.757,     8.100413,     7.738824
  2515.807,     8.305234,     8.241644
  2515.857,     8.185381,     8.420249
  2515.907,     7.648492,     8.085589
  2515.957,     6.746934,     7.609756
  2516.007,     5.522548,     6.805002
  2516.057,     4.086637,     5.697891
  2516.107,     2.604232,     4.311709
  2516.157,     1.205129,     2.785017
  2516.207,     0.011197,     1.238385
  2516.257,    -0.911786,     0.062230
  2516.307,    -1.568464,    -0.821441
  2516.357,    -1.979361,    -1.591383
  2516.407,    -2.215644,    -2.022646
  2516.457,    -2.358112,    -2.313435
  2516.507,    -2.460004,    -2.461595
  2516.557,    -2.568413,    -2.534950
  2516.607,    -2.681600,    -2.553858
  2516.657,    -2.842562,    -2.721891
  2516.707,    -2.986819,    -2.904115
  2516.757,    -3.101984,    -2.911971
  2516.807,    -3.161138,    -2.920437
  2516.857,    -3.145417,    -2.868201
  2516.907,    -3.019882,    -2.889678
  2516.957,    -2.791636,    -2.838121
  2517.007,    -2.484714,    -2.693192
  2517.057,    -2.101933,    -2.252733
  2517.107,    -1.711980,    -2.010184
  2517.157,    -1.354643,    -1.491719
  2517.207,    -1.073267,    -1.193093
  2517.257,    -0.929444,    -0.887446
  2517.307,    -0.893823,    -0.858908
  2517.357,    -1.025926,    -0.801188
  2517.407,    -1.254733,    -0.953598
  2517.457,    -1.545510,    -1.488614
  2517.507,    -1.857305,    -1.641196
  2517.557,    -2.130309,    -2.031263
  2517.607,    -2.271799,    -2.245992
  2517.657,    -2.305522,    -2.395765
  2517.707,    -2.170301,    -2.482865
  2517.757,    -1.884763,    -2.252887
  2517.807,    -1.486128,    -1.892430
  2517.857,    -1.029601,    -1.356930
  2517.907,    -0.518905,    -0.998659
  2517.957,    -0.050101,    -0.546211
  2518.007,     0.375099,     0.063533
  2518.057,     0.734461,     0.486929
  2518.107,     1.006212,     0.917512
  2518.157,     1.193235,     1.199515
  2518.207,     1.320870,     1.267310
  2518.257,     1.365582,     1.203233
  2518.307,     1.373159,     1.446027
  2518.357,     1.324099,     1.333782
  2518.407,     1.260369,     1.429790
  2518.457,     1.175716,     1.332774
  2518.507,     1.076990,     1.220582
  2518.557,     0.947772,     1.132711
  2518.607,     0.845338,     0.936868
  2518.657,     0.720107,     0.838170
  2518.707,     0.590945,     0.634492
  2518.757,     0.488219,     0.502086
  2518.807,     0.385170,     0.529956
  2518.857,     0.315963,     0.421676
  2518.907,     0.248544,     0.309048
  2518.957,     0.202262,     0.268659
  2519.007,     0.196735,     0.241918
  2519.057,     0.196918,     0.258020
  2519.107,     0.205296,     0.297585
  2519.157,     0.231755,     0.191276
  2519.207,     0.269587,     0.263727
  2519.257,     0.302293,     0.355478
  2519.307,     0.349174,     0.339090
  2519.357,     0.381979,     0.326509
  2519.407,     0.433984,     0.455692
  2519.457,     0.483012,     0.462993
  2519.507,     0.519774,     0.554643
  2519.557,     0.561921,     0.618507
  2519.607,     0.581370,     0.684905
  2519.657,     0.588431,     0.824393
  2519.707,     0.598584,     0.754449
  2519.757,     0.581080,     0.776240
  2519.807,     0.568943,     0.796108
  2519.857,     0.530262,     0.760902
  2519.907,     0.493439,     0.658281
  2519.957,     0.445308,     0.640504
  2520.007,     0.393107,     0.556819
  2520.057,     0.354104,     0.501441
  2520.107,     0.309005,     0.413421
  2520.157,     0.260500,     0.422184
  2520.207,     0.200294,     0.406481
  2520.257,     0.164715,     0.392834
  2520.307,     0.126810,     0.394602
  2520.357,     0.082467,     0.360114
  2520.407,     0.045197,     0.361415
  2520.457,     0.021028,     0.286616
  2520.507,    -0.005587,     0.201540
  2520.557,    -0.030418,     0.148028
  2520.607,    -0.072534,     0.007774
  2520.657,    -0.079516,    -0.049321
  2520.707,    -0.082970,    -0.049732
  2520.757,    -0.091406,    -0.111676
  2520.807,    -0.068359,     0.018622
  2520.857,    -0.026907,    -0.084824
  2520.907,     0.014277,     0.067050
  2520.957,     0.041579,     0.076345
  2521.007,     0.097817,     0.153234
  2521.057,     0.147803,     0.327308
  2521.107,     0.194269,     0.313262
  2521.157,     0.233041,     0.333760
  2521.207,     0.277298,     0.515942
  2521.257,     0.338170,     0.552923
  2521.307,     0.392181,     0.657232
  2521.357,     0.436880,     0.528709
  2521.407,     0.467355,     0.620511
  2521.457,     0.484460,     0.675611
  2521.507,     0.482133,     0.705511
  2521.557,     0.457127,     0.751496
  2521.607,     0.414310,     0.557452
  2521.657,     0.352257,     0.689937
  2521.707,     0.264958,     0.515098
  2521.757,     0.156952,     0.331841
  2521.807,     0.028889,     0.403574
  2521.857,    -0.115061,     0.205209
  2521.907,    -0.249834,    -0.019829
  2521.957,    -0.411467,    -0.237338
  2522.007,    -0.579537,    -0.236042
  2522.057,    -0.731293,    -0.354776
  2522.107,    -0.900854,    -0.577624
  2522.157,    -1.085720,    -0.760107
  2522.207,    -1.279958,    -0.881833
  2522.257,    -1.476557,    -1.230063
  2522.307,    -1.665965,    -1.422961
  2522.357,    -1.886258,    -1.404946
  2522.407,    -2.102719,    -1.661239
  2522.457,    -2.262370,    -1.923619
  2522.507,    -2.366088,    -2.068907
  2522.557,    -2.399164,    -2.271005
  2522.607,    -2.310650,    -2.225946
  2522.657,    -2.080212,    -2.057405
  2522.707,    -1.719423,    -2.030422
  2522.757,    -1.250748,    -1.592479
  2522.807,    -0.733099,    -1.199519
  2522.857,    -0.190037,    -0.553687
  2522.908,     0.313665,    -0.053215
  2522.958,     0.763099,     0.480408
  2523.008,     1.073830,     0.863166
  2523.058,     1.301733,     1.153539
  2523.108,     1.457300,     1.467049
  2523.158,     1.529954,     1.537144
  2523.208,     1.532801,     1.674803
  2523.258,     1.487481,     1.767791
  2523.308,     1.427531,     1.531136
  2523.358,     1.350628,     1.558427
  2523.408,     1.287735,     1.439395
  2523.458,     1.230893,     1.366162
  2523.508,     1.215146,     1.436282
  2523.558,     1.236954,     1.299268
  2523.608,     1.283941,     1.245078
  2523.658,     1.384619,     1.340919
  2523.708,     1.519483,     1.569812
  2523.758,     1.651065,     1.705960
  2523.808,     1.809669,     1.861750
  2523.858,     1.941717,     1.991180
  2523.908,     2.067090,     2.094396
  2523.958,     2.153920,     2.110315
  2524.008,     2.227610,     2.277265
  2524.058,     2.242249,     2.390284
  2524.108,     2.227166,     2.434287
  2524.158,     2.157205,     2.123048
  2524.208,     2.055141,     2.219060
  2524.258,     1.926242,     2.007508
  2524.308,     1.778609,     2.045003
  2524.358,     1.620548,     1.958974
  2524.408,     1.459190,     1.776186
  2524.458,     1.330556,     1.661164
  2524.508,     1.214178,     1.489707
  2524.558,     1.096097,     1.392211
  2524.608,     1.026811,     1.248601
  2524.658,     0.938248,     1.295713
  2524.708,     0.852558,     1.256418
  2524.758,     0.745007,     1.236763
  2524.808,     0.604263,     1.156836
  2524.858,     0.448576,     0.990437
  2524.908,     0.265344,     0.831829
  2524.958,     0.058678,     0.650507
  2525.008,    -0.152661,     0.517810
  2525.058,    -0.356773,     0.193288
  2525.108,    -0.575168,    -0.021249
  2525.158,    -0.793084,    -0.294327
  2525.208,    -0.996425,    -0.517590
  2525.258,    -1.176941,    -0.636684
  2525.308,    -1.350114,    -0.876115
  2525.358,    -1.480054,    -0.859393
  2525.408,    -1.566548,    -1.117777
  2525.458,    -1.617303,    -1.415373
  2525.508,    -1.634644,    -1.511271
  2525.558,    -1.635087,    -1.349589
  2525.608,    -1.594733,    -1.464919
  2525.658,    -1.541664,    -1.599903
  2525.708,    -1.488896,    -1.421590
  2525.758,    -1.445529,    -1.297219
  2525.808,    -1.389476,    -1.286230
  2525.858,    -1.335806,    -1.276494
  2525.908,    -1.273520,    -1.280413
  2525.958,    -1.215228,    -1.160183
  2526.008,    -1.151844,    -0.941113
  2526.058,    -1.103605,    -1.019048
  2526.108,    -1.070642,    -0.913167
  2526.158,    -1.055200,    -0.845687
  2526.208,    -1.051638,    -0.760305
  2526.258,    -1.029527,    -0.853502
  2526.308,    -1.029051,    -0.888638
  2526.358,    -1.001728,    -0.730864
  2526.408,    -0.975605,    -0.874284
  2526.458,    -0.912187,    -0.879817
  2526.508,    -0.838841,    -0.878302
  2526.558,    -0.767303,    -0.745000
  2526.608,    -0.668318,    -0.710782
  2526.658,    -0.582869,    -0.411688
  2526.708,    -0.522852,    -0.446823
  2526.758,    -0.478108,    -0.252110
  2526.808,    -0.484785,    -0.226345
  2526.858,    -0.533537,    -0.219149
  2526.908,    -0.610033,    -0.094271
  2526.958,    -0.712100,    -0.365828
  2527.008,    -0.840084,    -0.506204
  2527.058,    -0.944069,    -0.723602
  2527.108,    -1.049075,    -0.894808
  2527.158,    -1.082654,    -0.941303
  2527.208,    -1.081681,    -0.799612
  2527.258,    -1.031467,    -1.021692
  2527.308,    -0.915282,    -0.941885
  2527.358,    -0.778333,    -0.831741
  2527.408,    -0.594076,    -0.630717
  2527.458,    -0.423536,    -0.664737
  2527.508,    -0.267552,    -0.336228
  2527.558,    -0.166407,    -0.241270
  2527.608,    -0.064366,    -0.184484
  2527.658,    -0.028899,    -0.151849
  2527.708,    -0.016318,    -0.069098
  2527.758,    -0.028557,    -0.065084
  2527.808,    -0.062672,    -0.081469
  2527.858,    -0.088005,    -0.042873
  2527.908,    -0.115068,     0.094296
  2527.958,    -0.122266,    -0.020157
  2528.008,    -0.122991,    -0.132874
  2528.058,    -0.123327,    -0.084936
  2528.108,    -0.122940,    -0.079252
  2528.158,    -0.116600,     0.047847
  2528.208,    -0.131146,    -0.046979
  2528.258,    -0.145571,    -0.030812
  2528.308,    -0.168259,     0.041617
  2528.358,    -0.205451,    -0.116652
  2528.408,    -0.248846,    -0.181067
  2528.458,    -0.286923,    -0.148094
  2528.508,    -0.347538,    -0.224404
  2528.558,    -0.386129,    -0.292982
  2528.608,    -0.440857,    -0.370130
  2528.658,    -0.510839,    -0.298273
  2528.708,    -0.569489,    -0.295423
  2528.758,    -0.628474,    -0.517796
  2528.808,    -0.682033,    -0.454914
  2528.858,    -0.728042,    -0.518653
  2528.908,    -0.771188,    -0.512055
  2528.958,    -0.798261,    -0.489864
  2529.008,    -0.807255,    -0.565131
  2529.058,    -0.766733,    -0.682357
  2529.108,    -0.708143,    -0.547924
  2529.158,    -0.616087,    -0.615648
  2529.208,    -0.494226,    -0.383087
  2529.258,    -0.344194,    -0.149096
  2529.308,    -0.147828,    -0.099384
  2529.358,     0.070550,     0.071936
  2529.408,     0.327614,     0.342623
  2529.458,     0.599847,     0.462939
  2529.508,     0.923986,     0.818839
  2529.558,     1.283082,     1.169737
  2529.608,     1.673963,     1.525005
  2529.658,     2.092515,     1.848164
  2529.708,     2.512082,     2.304770
  2529.758,     2.933816,     2.744337
  2529.808,     3.314744,     3.202024
  2529.858,     3.599819,     3.550717
  2529.908,     3.742446,     3.852165
  2529.958,     3.699028,     4.021641
  2530.008,     3.416217,     3.922718
  2530.058,     2.866102,     3.514842
  2530.108,     2.030272,     3.045009
  2530.158,     0.926475,     2.222279
  2530.208,    -0.381474,     1.143690
  2530.258,    -1.771902,    -0.212633
  2530.308,    -3.123308,    -1.517195
  2530.358,    -4.269283,    -2.960086
  2530.408,    -5.076109,    -4.152682
  2530.458,    -5.487378,    -4.848145
  2530.508,    -5.482911,    -5.286046
  2530.558,    -5.088086,    -5.343014
  2530.608,    -4.436498,    -4.893124
  2530.658,    -3.647035,    -4.390163
  2530.708,    -2.813905,    -3.302943
  2530.758,    -2.080398,    -2.315805
  2530.808,    -1.452424,    -1.751154
  2530.858,    -0.999435,    -1.108350
  2530.908,    -0.704844,    -0.579010
  2530.958,    -0.532968,    -0.388305
  2531.008,    -0.437243,    -0.105662
  2531.058,    -0.404013,    -0.051930
  2531.108,    -0.382172,     0.116471
  2531.158,    -0.336400,     0.070662
  2531.208,    -0.260729,     0.041584
  2531.258,    -0.172902,     0.168934
  2531.308,    -0.057597,     0.227962
  2531.358,     0.079570,     0.236758
  2531.408,     0.202955,     0.365623
  2531.458,     0.325990,     0.616971
  2531.508,     0.422111,     0.622904
  2531.558,     0.501775,     0.757256
  2531.608,     0.531625,     0.831370
  2531.658,     0.573576,     0.786297
  2531.708,     0.588277,     0.865195
  2531.758,     0.596046,     0.756445
  2531.808,     0.605001,     0.774645
  2531.858,     0.619270,     0.780704
  2531.908,     0.625852,     0.878552
  2531.958,     0.643490,     0.899559
  2532.008,     0.661591,     0.824278
  2532.058,     0.684457,     0.854687
  2532.108,     0.701243,     0.875651
  2532.158,     0.672311,     0.957558
  2532.208,     0.636717,     1.091714
  2532.258,     0.561568,     1.139979
  2532.308,     0.486743,     1.061178
  2532.358,     0.372838,     0.983699
  2532.408,     0.241836,     0.760524
  2532.458,     0.107797,     0.609910
  2532.508,    -0.009582,     0.468396
  2532.558,    -0.121360,     0.394930
  2532.608,    -0.223209,     0.114166
  2532.658,    -0.333407,     0.035408
  2532.708,    -0.409830,    -0.082251
  2532.758,    -0.472000,    -0.109344
  2532.808,    -0.528915,    -0.266152
  2532.858,    -0.566629,    -0.271046
  2532.908,    -0.605680,    -0.214970
  2532.958,    -0.625551,    -0.310036
  2533.008,    -0.639123,    -0.166767
  2533.058,    -0.650617,    -0.328068
  2533.108,    -0.664264,    -0.325755
  2533.158,    -0.649741,    -0.329528
  2533.208,    -0.653680,    -0.277514
  2533.258,    -0.660933,    -0.254276
  2533.308,    -0.660554,    -0.166546
  2533.358,    -0.678925,    -0.417212
  2533.408,    -0.706300,    -0.544744
  2533.458,    -0.720785,    -0.483633
  2533.508,    -0.738820,    -0.442202
