# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-367.58153452	-0.01829057
-367.54817811	-0.01845265
-367.51482170	-0.01865836
-367.48146529	-0.01889422
-367.44810888	-0.01911857
-367.41475248	-0.01935376
-367.38139607	-0.01961940
-367.34803966	-0.01989963
-367.31468325	-0.02017146
-367.28132684	-0.02065329
-367.24797043	-0.02110435
-367.21461402	-0.02181828
-367.18125761	-0.02260577
-367.14790120	-0.02367897
-367.11454479	-0.02515675
-367.08118838	-0.02702050
-367.04783197	-0.02945056
-367.01447556	-0.03245268
-366.98111915	-0.03602649
-366.94776274	-0.04007976
-366.91440633	-0.04453176
-366.88104992	-0.04909882
-366.84769351	-0.05341822
-366.81433710	-0.05755064
-366.78098069	-0.06031112
-366.74762428	-0.06162583
-366.71426788	-0.06131967
-366.68091147	-0.05975282
-366.64755506	-0.05727982
-366.61419865	-0.05488768
-366.58084224	-0.05344135
-366.54748583	-0.05481545
-366.51412942	-0.06019741
-366.48077301	-0.07049854
-366.44741660	-0.08624098
-366.41406019	-0.10670601
-366.38070378	-0.13121833
-366.34734737	-0.15726586
-366.31399096	-0.18370312
-366.28063455	-0.20694170
-366.24727814	-0.22274666
-366.21392173	-0.22734499
-366.18056532	-0.21891892
-366.14720891	-0.19606041
-366.11385250	-0.15940139
-366.08049609	-0.11276446
-366.04713968	-0.05803329
-366.01378328	-0.00081165
-365.98042687	0.05161043
-365.94707046	0.09312719
-365.91371405	0.12273101
-365.88035764	0.13976974
-365.84700123	0.14598765
-365.81364482	0.14370835
-365.78028841	0.13519407
-365.74693200	0.12142815
-365.71357559	0.10385539
-365.68021918	0.08375495
-365.64686277	0.06176454
-365.61350636	0.03978529
-365.58014995	0.01984907
-365.54679354	0.00442122
-365.51343713	-0.00611939
-365.48008072	-0.01137889
-365.44672431	-0.01237763
-365.41336790	-0.01082577
